Title,Author,Audiobook_URL
A Bell for Adano,John Hersey,https://findaudiobook.co/?s=A+Bell+for+Adano
Tales of the South Pacific,James A. Michener,https://findaudiobook.co/?s=Tales+of+the+South+Pacific
Guard of Honor,James Gould Cozzens,https://findaudiobook.co/?s=Guard+of+Honor
The Way West,"A. B. Guthrie, Jr",https://findaudiobook.co/?s=The+Way+West
The Town,Conrad Richter,https://findaudiobook.co/?s=The+Town
The Caine Mutiny,Herman Wouk,https://findaudiobook.co/?s=The+Caine+Mutiny
A Fable,William Faulkner,https://findaudiobook.co/?s=A+Fable
Andersonville,MacKinlay Kantor,https://findaudiobook.co/?s=Andersonville
The Travels of Jaimie McPheeters,Robert Lewis Taylor,https://findaudiobook.co/?s=The+Travels+of+Jaimie+McPheeters
Advise and Consent,Allen Drury,https://findaudiobook.co/?s=Advise+and+Consent
The Edge of Sadness,Edwin O'Connor,https://findaudiobook.co/?s=The+Edge+of+Sadness
The Reivers,William Faulkner,https://findaudiobook.co/?s=The+Reivers
The Keepers of the House,Shirley Ann Grau,https://findaudiobook.co/?s=The+Keepers+of+the+House
Fairy Tales and Stories,Hans Christian Andersen,https://findaudiobook.co/?s=Fairy+Tales+and+Stories
Decameron,Giovanni Boccaccio,https://findaudiobook.co/?s=Decameron
Fictions,Jorge Luis Borges,https://findaudiobook.co/?s=Fictions
The Stranger,Albert Camus,https://findaudiobook.co/?s=The+Stranger
Poems,Paul Celan,https://findaudiobook.co/?s=Poems
The Canterbury Tales,Geoffrey Chaucer,https://findaudiobook.co/?s=The+Canterbury+Tales
The Divine Comedy,Dante Alighieri,https://findaudiobook.co/?s=The+Divine+Comedy
Jacques the Fatalist and His Master,Denis Diderot,https://findaudiobook.co/?s=Jacques+the+Fatalist+and+His+Master
Berlin Alexanderplatz,Alfred Döblin,https://findaudiobook.co/?s=Berlin+Alexanderplatz
Crime and Punishment,Fyodor Dostoevsky,https://findaudiobook.co/?s=Crime+and+Punishment
Tess of the d'Urbervilles,Thomas Hardy,https://findaudiobook.co/?s=Tess+of+the+d%27Urbervilles
A Prayer for Owen Meany,John Irving,https://findaudiobook.co/?s=A+Prayer+for+Owen+Meany
The Pillars Of The Earth,Ken Follett,https://findaudiobook.co/?s=The+Pillars+Of+The+Earth
"Charlie And The Chocolate Factory,",Roald Dahl,https://findaudiobook.co/?s=Charlie+And+The+Chocolate+Factory%2C
Treasure Island,Robert Louis Stevenson,https://findaudiobook.co/?s=Treasure+Island
Persuasion,Jane Austen,https://findaudiobook.co/?s=Persuasion
The Collected Stories of Katherine Anne Porter,Katherine Anne Porter,https://findaudiobook.co/?s=The+Collected+Stories+of+Katherine+Anne+Porter
The Fixer,Bernard Malamud,https://findaudiobook.co/?s=The+Fixer
House Made of Dawn,N. Scott Momaday,https://findaudiobook.co/?s=House+Made+of+Dawn
The Collected Stories of Jean Stafford,Jean Stafford,https://findaudiobook.co/?s=The+Collected+Stories+of+Jean+Stafford
The Optimist's Daughter,Eudora Welty,https://findaudiobook.co/?s=The+Optimist%27s+Daughter
The Killer Angels,Michael Shaara,https://findaudiobook.co/?s=The+Killer+Angels
